시,구,년도,월,기존인구,전입,전출,전입-전출,전입+전출,순이동률,총이동률
수원시,영통구,2023,5,369926,3690,3970,-280,7660,-0.076,2.07
수원시,장안구,2023,4,275781,1804,2010,-206,3814,-0.075,1.382
수원시,권선구,2023,4,376308,2994,3318,-324,6312,-0.086,1.676
수원시,팔달구,2023,4,204684,1933,1920,13,3853,0.006,1.884
수원시,영통구,2023,4,369965,3461,3488,-27,6949,-0.007,1.879
수원시,장안구,2023,3,275983,2263,2661,-398,4924,-0.144,1.782
수원시,권선구,2023,3,376541,3530,3584,-54,7114,-0.014,1.89
수원시,팔달구,2023,3,204560,2571,2460,111,5031,0.054,2.462
수원시,영통구,2023,3,369789,4569,4796,-227,9365,-0.061,2.532
수원시,장안구,2023,2,276285,2906,3049,-143,5955,-0.052,2.154
수원시,권선구,2023,2,376469,3845,3801,44,7646,0.012,2.032
수원시,팔달구,2023,2,204324,2682,2392,290,5074,0.142,2.487
수원시,영통구,2023,2,369860,6868,6031,837,12899,0.227,3.497
수원시,장안구,2023,1,276511,2043,2490,-447,4533,-0.161,1.636
수원시,권선구,2023,1,376353,3422,3296,126,6718,0.033,1.786
수원시,팔달구,2023,1,204019,2446,2060,386,4506,0.19,2.212
수원시,영통구,2023,1,368877,5737,5231,506,10968,0.137,2.979
수원시,장안구,2022,12,277006,2012,2456,-444,4468,-0.16,1.61
수원시,권선구,2022,12,376165,3693,3261,432,6954,0.115,1.851
수원시,팔달구,2022,12,203675,2564,2125,439,4689,0.216,2.307
수원시,영통구,2022,12,368212,4486,4306,180,8792,0.049,2.39
수원시,장안구,2022,11,277549,1985,2244,-259,4229,-0.093,1.523
수원시,권선구,2022,11,375714,4180,3637,543,7817,0.145,2.084
수원시,팔달구,2022,11,203282,3113,2310,803,5423,0.397,2.678
